gid,id,team,p_ipouts,p_bfp,p_er,p_w,p_k,p_gs,date,number,gametype
BOS201004040,sabac001,NYA,16,23,5,2,4,1,20100404,0,regular
BOS201004040,beckj002,BOS,14,24,5,3,1,1,20100404,0,regular
ANA201004050,bakes002,MIN,14,22,4,3,3,1,20100405,0,regular
ANA201004050,weavj003,ANA,18,25,3,2,6,1,20100405,0,regular
ARI201004050,garlj001,SDN,12,21,2,2,4,1,20100405,0,regular
ARI201004050,hared001,ARI,21,24,1,0,4,1,20100405,0,regular
ATL201004050,zambc001,CHN,4,13,8,2,1,1,20100405,0,regular
ATL201004050,lowed001,ATL,18,24,5,3,2,1,20100405,0,regular
CHA201004050,westj001,CLE,12,22,5,4,1,1,20100405,0,regular
CHA201004050,buehm001,CHA,21,24,0,1,3,1,20100405,0,regular
CIN201004050,carpc002,SLN,18,23,2,0,3,1,20100405,0,regular
CIN201004050,haraa001,CIN,15,24,3,2,2,1,20100405,0,regular
HOU201004050,linct001,SFN,21,25,0,0,7,1,20100405,0,regular
HOU201004050,oswar001,HOU,18,25,3,2,3,1,20100405,0,regular
KCA201004050,verlj001,DET,15,22,4,1,6,1,20100405,0,regular
KCA201004050,greiz001,KCA,18,25,1,1,4,1,20100405,0,regular
MIL201004050,jimeu001,COL,18,26,1,1,6,1,20100405,0,regular
MIL201004050,gally001,MIL,21,29,3,2,5,1,20100405,0,regular
NYN201004050,johnj009,FLO,15,24,4,4,3,1,20100405,0,regular
NYN201004050,santj003,NYN,18,24,1,2,5,1,20100405,0,regular
OAK201004050,hernf002,SEA,20,26,3,6,4,1,20100405,0,regular
OAK201004050,sheeb001,OAK,15,20,2,4,3,1,20100405,0,regular
PIT201004050,padiv001,LAN,13,24,7,3,2,1,20100405,0,regular
PIT201004050,dukez001,PIT,15,23,2,1,1,1,20100405,0,regular
TEX201004050,marcs001,TOR,21,25,3,1,6,1,20100405,0,regular
TEX201004050,felds001,TEX,21,26,3,0,3,1,20100405,0,regular
WAS201004050,hallr001,PHI,21,27,1,2,9,1,20100405,0,regular
WAS201004050,lannj001,WAS,11,21,5,3,0,1,20100405,0,regular
ANA201004060,blacn001,MIN,20,30,3,4,4,1,20100406,0,regular
ANA201004060,saunj001,ANA,15,24,5,2,4,1,20100406,0,regular
ARI201004060,younc003,SDN,18,23,0,3,5,1,20100406,0,regular
ARI201004060,jacke001,ARI,15,21,3,1,5,1,20100406,0,regular
BOS201004060,burna001,NYA,15,23,3,1,5,1,20100406,0,regular
BOS201004060,lestj001,BOS,15,24,4,3,4,1,20100406,0,regular
HOU201004060,zitob001,SFN,18,22,0,1,5,1,20100406,0,regular
HOU201004060,rodrw002,HOU,18,27,3,4,4,1,20100406,0,regular
MIL201004060,smitg002,COL,15,20,5,2,5,1,20100406,0,regular
MIL201004060,wolfr001,MIL,20,29,4,0,8,1,20100406,0,regular
OAK201004060,sneli001,SEA,18,25,1,2,4,1,20100406,0,regular
OAK201004060,bradd002,OAK,21,25,1,1,10,1,20100406,0,regular
TBA201004060,millk004,BAL,15,24,2,1,5,1,20100406,0,regular
TBA201004060,shiej002,TBA,18,29,3,2,6,1,20100406,0,regular
ANA201004070,pavac001,MIN,21,28,1,0,6,1,20100407,0,regular
ANA201004070,sante001,ANA,18,25,4,1,4,1,20100407,0,regular
ARI201004070,corrk001,SDN,18,25,4,0,6,1,20100407,0,regular
ARI201004070,kenni001,ARI,15,22,3,0,8,1,20100407,0,regular
ATL201004070,dempr002,CHN,18,24,1,2,9,1,20100407,0,regular
ATL201004070,jurrj001,ATL,15,20,0,2,2,1,20100407,0,regular
BOS201004070,petta001,NYA,18,26,1,3,4,1,20100407,0,regular
BOS201004070,lackj001,BOS,18,22,0,2,3,1,20100407,0,regular
CHA201004070,carmf001,CLE,18,24,3,6,1,1,20100407,0,regular
CHA201004070,peavj001,CHA,15,26,3,2,5,1,20100407,0,regular
CIN201004070,waina001,SLN,21,25,2,2,6,1,20100407,0,regular
CIN201004070,cuetj001,CIN,18,27,2,3,3,1,20100407,0,regular
HOU201004070,cainm001,SFN,20,27,3,0,5,1,20100407,0,regular
HOU201004070,myerb001,HOU,18,29,4,1,3,1,20100407,0,regular
KCA201004070,schem001,DET,18,22,0,2,3,1,20100407,0,regular
KCA201004070,hochl001,KCA,23,27,0,1,2,1,20100407,0,regular
MIL201004070,cooka002,COL,16,25,4,1,5,1,20100407,0,regular
MIL201004070,david002,MIL,12,20,4,3,4,1,20100407,0,regular
NYN201004070,nolar001,FLO,20,26,3,3,5,1,20100407,0,regular
NYN201004070,mainj001,NYN,15,24,4,1,3,1,20100407,0,regular
OAK201004070,rowlr002,SEA,15,25,3,1,1,1,20100407,0,regular
OAK201004070,duchj001,OAK,17,25,5,2,4,1,20100407,0,regular
PIT201004070,kersc001,LAN,14,25,3,6,4,1,20100407,0,regular
PIT201004070,ohler001,PIT,15,23,2,3,1,1,20100407,0,regular
TBA201004070,guthj001,BAL,19,28,3,2,6,1,20100407,0,regular
TBA201004070,garzm001,TBA,24,32,1,2,9,1,20100407,0,regular
TEX201004070,tallb001,TOR,20,28,2,3,6,1,20100407,0,regular
TEX201004070,hardr001,TEX,11,19,1,5,8,1,20100407,0,regular
WAS201004070,hamec001,PHI,15,25,2,4,5,1,20100407,0,regular
WAS201004070,marqj001,WAS,12,22,6,3,2,1,20100407,0,regular
ANA201004080,slowk001,MIN,16,25,1,2,3,1,20100408,0,regular
ANA201004080,pinej001,ANA,18,26,3,3,2,1,20100408,0,regular
ATL201004080,wellr001,CHN,18,24,0,2,1,1,20100408,0,regular
ATL201004080,hanst001,ATL,16,23,2,3,7,1,20100408,0,regular
CHA201004080,mastj001,CLE,15,22,1,2,5,1,20100408,0,regular
CHA201004080,floyg001,CHA,18,25,2,3,7,1,20100408,0,regular
CIN201004080,pennb002,SLN,21,27,1,2,4,1,20100408,0,regular
CIN201004080,arrob001,CIN,24,31,1,3,6,1,20100408,0,regular
KCA201004080,willd003,DET,18,24,2,2,4,1,20100408,0,regular
KCA201004080,bannb001,KCA,18,23,1,0,3,1,20100408,0,regular
NYN201004080,roben001,FLO,15,22,1,0,4,1,20100408,0,regular
NYN201004080,niesj001,NYN,18,28,3,2,3,1,20100408,0,regular
OAK201004080,fistd001,SEA,12,21,2,3,2,1,20100408,0,regular
OAK201004080,andeb004,OAK,18,21,0,1,4,1,20100408,0,regular
PIT201004080,billc001,LAN,16,24,1,4,7,1,20100408,0,regular
PIT201004080,mahop002,PIT,18,27,4,2,3,1,20100408,0,regular
TBA201004080,matub001,BAL,15,20,2,5,7,1,20100408,0,regular
TBA201004080,niemj001,TBA,4,4,0,0,0,1,20100408,0,regular
TEX201004080,romer002,TOR,21,27,1,2,4,1,20100408,0,regular
TEX201004080,wilsc004,TEX,21,27,0,2,9,1,20100408,0,regular
WAS201004080,kendk001,PHI,12,18,5,0,2,1,20100408,0,regular
WAS201004080,stamc001,WAS,15,23,4,0,1,1,20100408,0,regular
ANA201004090,gonzg003,OAK,18,24,2,1,6,1,20100409,0,regular
ANA201004090,palmm001,ANA,15,26,5,2,3,1,20100409,0,regular
ARI201004090,mortc002,PIT,10,22,8,1,6,1,20100409,0,regular
ARI201004090,loper001,ARI,18,25,1,1,5,1,20100409,0,regular
BAL201004090,morrb001,TOR,15,24,5,5,5,1,20100409,0,regular
BAL201004090,bergb002,BAL,14,22,5,1,2,1,20100409,0,regular
CHA201004090,lirif001,MIN,18,25,3,5,3,1,20100409,0,regular
CHA201004090,dankj001,CHA,18,27,1,1,6,1,20100409,0,regular
CIN201004090,silvc001,CHN,18,21,1,0,3,1,20100409,0,regular
CIN201004090,bailh001,CIN,15,26,3,2,5,1,20100409,0,regular
COL201004090,richc002,SDN,21,30,3,3,4,1,20100409,0,regular
COL201004090,delaj001,COL,21,24,0,1,9,1,20100409,0,regular
DET201004090,huffd001,CLE,18,27,1,2,2,1,20100409,0,regular
DET201004090,porcr001,DET,15,20,2,2,3,1,20100409,0,regular
FLO201004090,kuroh001,LAN,24,31,0,1,7,1,20100409,0,regular
FLO201004090,volsc001,FLO,19,25,2,1,2,1,20100409,0,regular
HOU201004090,happj001,PHI,15,24,0,2,5,1,20100409,0,regular
HOU201004090,norrb001,HOU,8,18,3,4,3,1,20100409,0,regular
KCA201004090,waket001,BOS,21,27,2,1,6,1,20100409,0,regular
KCA201004090,davik002,KCA,18,24,3,1,3,1,20100409,0,regular
MIL201004090,lohsk001,SLN,18,26,4,3,3,1,20100409,0,regular
MIL201004090,bushd001,MIL,17,22,3,2,6,1,20100409,0,regular
NYN201004090,mockg001,WAS,10,19,2,5,3,1,20100409,0,regular
NYN201004090,pelfm001,NYN,18,26,2,4,4,1,20100409,0,regular
SFN201004090,hudst001,ATL,21,23,2,0,2,1,20100409,0,regular
SFN201004090,sancj002,SFN,13,22,3,2,6,1,20100409,0,regular
TBA201004090,vazqj001,NYA,17,28,8,3,5,1,20100409,0,regular
TBA201004090,pricd001,TBA,23,33,3,3,7,1,20100409,0,regular
TEX201004090,vargj001,SEA,16,24,5,1,5,1,20100409,0,regular
TEX201004090,lewic001,TEX,21,28,1,4,3,1,20100409,0,regular
ANA201004100,sheeb001,OAK,18,29,3,3,1,1,20100410,0,regular
ANA201004100,weavj003,ANA,18,23,1,1,7,1,20100410,0,regular
ARI201004100,dukez001,PIT,21,25,2,2,2,1,20100410,0,regular
ARI201004100,hared001,ARI,20,32,5,2,9,1,20100410,0,regular
BAL201004100,eveld001,TOR,22,28,0,2,2,1,20100410,0,regular
BAL201004100,hernd002,BAL,18,28,2,4,5,1,20100410,0,regular
CHA201004100,bakes002,MIN,21,26,1,1,3,1,20100410,0,regular
CHA201004100,garcf002,CHA,21,28,2,5,4,1,20100410,0,regular
CIN201004100,zambc001,CHN,21,28,3,2,9,1,20100410,0,regular
CIN201004100,haraa001,CIN,21,24,3,0,7,1,20100410,0,regular
COL201004100,latom001,SDN,18,25,4,0,4,1,20100410,0,regular
COL201004100,hammj002,COL,21,27,4,3,4,1,20100410,0,regular
DET201004100,talbm001,CLE,15,24,4,5,1,1,20100410,0,regular
DET201004100,bondj001,DET,15,18,1,2,5,1,20100410,0,regular
FLO201004100,padiv001,LAN,13,22,4,1,6,1,20100410,0,regular
FLO201004100,johnj009,FLO,15,25,3,3,7,1,20100410,0,regular
HOU201004100,moyej001,PHI,18,28,5,1,0,1,20100410,0,regular
HOU201004100,paulf001,HOU,15,23,4,4,4,1,20100410,0,regular
KCA201004100,beckj002,BOS,21,29,3,1,4,1,20100410,0,regular
KCA201004100,greiz001,KCA,20,29,4,0,5,1,20100410,0,regular
MIL201004100,garcj004,SLN,18,25,1,3,5,1,20100410,0,regular
MIL201004100,gally001,MIL,15,22,6,2,5,1,20100410,0,regular
NYN201004100,lannj001,WAS,15,26,3,3,2,1,20100410,0,regular
NYN201004100,pereo002,NYN,17,25,4,4,6,1,20100410,0,regular
SFN201004100,lowed001,ATL,18,26,1,7,4,1,20100410,0,regular
SFN201004100,wellt002,SFN,19,31,4,4,4,1,20100410,0,regular
TBA201004100,sabac001,NYA,23,26,0,2,5,1,20100410,0,regular
TBA201004100,daviw001,TBA,18,26,4,4,3,1,20100410,0,regular
TEX201004100,hernf002,SEA,21,29,2,1,5,1,20100410,0,regular
TEX201004100,harrm001,TEX,18,25,1,1,4,1,20100410,0,regular
ANA201004110,bradd002,OAK,18,24,3,1,2,1,20100411,0,regular
ANA201004110,saunj001,ANA,18,23,4,1,2,1,20100411,0,regular
ARI201004110,mccud001,PIT,10,20,9,3,2,1,20100411,0,regular
ARI201004110,jacke001,ARI,21,32,4,2,3,1,20100411,0,regular
BAL201004110,marcs001,TOR,18,26,2,1,5,1,20100411,0,regular
BAL201004110,millk004,BAL,23,29,1,0,6,1,20100411,0,regular
CHA201004110,blacn001,MIN,23,31,5,1,0,1,20100411,0,regular
CHA201004110,buehm001,CHA,24,31,4,2,1,1,20100411,0,regular
CIN201004110,gorzt001,CHN,19,25,0,2,7,1,20100411,0,regular
CIN201004110,leakm001,CIN,20,31,1,7,5,1,20100411,0,regular
COL201004110,garlj001,SDN,18,26,4,3,3,1,20100411,0,regular
COL201004110,jimeu001,COL,18,26,2,3,7,1,20100411,0,regular
DET201004110,westj001,CLE,17,30,3,3,7,1,20100411,0,regular
DET201004110,verlj001,DET,15,22,6,3,3,1,20100411,0,regular
FLO201004110,haegc001,LAN,18,27,3,4,12,1,20100411,0,regular
FLO201004110,sanca004,FLO,18,27,4,1,5,1,20100411,0,regular
HOU201004110,hallr001,PHI,27,33,0,0,8,1,20100411,0,regular
HOU201004110,oswar001,HOU,18,24,2,2,8,1,20100411,0,regular
KCA201004110,buchc001,BOS,15,24,2,2,1,1,20100411,0,regular
KCA201004110,mechg001,KCA,10,21,7,3,4,1,20100411,0,regular
MIL201004110,carpc002,SLN,15,26,5,2,4,1,20100411,0,regular
MIL201004110,wolfr001,MIL,20,30,2,3,3,1,20100411,0,regular
NYN201004110,hernl003,WAS,21,28,0,3,1,1,20100411,0,regular
NYN201004110,santj003,NYN,15,22,5,3,3,1,20100411,0,regular
SFN201004110,kawak001,ATL,18,24,2,1,1,1,20100411,0,regular
SFN201004110,linct001,SFN,21,27,2,1,10,1,20100411,0,regular
TBA201004110,burna001,NYA,21,27,2,3,1,1,20100411,0,regular
TBA201004110,shiej002,TBA,16,23,2,3,5,1,20100411,0,regular
TEX201004110,sneli001,SEA,9,20,4,2,0,1,20100411,0,regular
TEX201004110,felds001,TEX,21,27,1,1,4,1,20100411,0,regular
BAL201004120,garzm001,TBA,24,30,1,3,5,1,20100412,0,regular
BAL201004120,guthj001,BAL,21,27,3,0,5,1,20100412,0,regular
CHN201004120,david002,MIL,10,19,6,2,4,1,20100412,0,regular
CHN201004120,dempr002,CHN,19,28,5,4,5,1,20100412,0,regular
CLE201004120,hardr001,TEX,18,24,2,3,2,1,20100412,0,regular
CLE201004120,carmf001,CLE,24,33,2,4,4,1,20100412,0,regular
DET201004120,hochl001,KCA,15,24,4,3,5,1,20100412,0,regular
DET201004120,schem001,DET,15,23,2,2,3,1,20100412,0,regular
FLO201004120,cuetj001,CIN,15,25,4,1,2,1,20100412,0,regular
FLO201004120,nolar001,FLO,18,27,5,1,4,1,20100412,0,regular
MIN201004120,lestj001,BOS,15,27,4,3,5,1,20100412,0,regular
MIN201004120,pavac001,MIN,18,22,1,1,4,1,20100412,0,regular
PHI201004120,marqj001,WAS,13,21,6,2,1,1,20100412,0,regular
PHI201004120,hamec001,PHI,17,26,4,1,6,1,20100412,0,regular
SDN201004120,jurrj001,ATL,10,21,8,2,1,1,20100412,0,regular
SDN201004120,corrk001,SDN,17,25,2,4,3,1,20100412,0,regular
SEA201004120,duchj001,OAK,22,27,0,2,4,1,20100412,0,regular
SEA201004120,rowlr002,SEA,21,27,4,5,1,1,20100412,0,regular
SFN201004120,burrb001,PIT,12,23,6,2,2,1,20100412,0,regular
SFN201004120,zitob001,SFN,18,26,3,3,1,1,20100412,0,regular
SLN201004120,rodrw002,HOU,13,21,4,2,0,1,20100412,0,regular
SLN201004120,waina001,SLN,24,29,0,1,7,1,20100412,0,regular
TOR201004120,peavj001,CHA,17,29,7,3,2,1,20100412,0,regular
TOR201004120,tallb001,TOR,18,28,6,2,3,1,20100412,0,regular
BAL201004130,niemj001,TBA,21,32,3,1,3,1,20100413,0,regular
BAL201004130,matub001,BAL,22,29,4,1,8,1,20100413,0,regular
COL201004130,mainj001,NYN,9,20,8,3,4,1,20100413,0,regular
COL201004130,smitg002,COL,21,27,2,2,8,1,20100413,0,regular
DET201004130,bannb001,KCA,19,25,2,2,4,1,20100413,0,regular
DET201004130,willd003,DET,15,27,4,3,3,1,20100413,0,regular
FLO201004130,arrob001,CIN,18,26,5,1,3,1,20100413,0,regular
FLO201004130,roben001,FLO,15,21,3,2,3,1,20100413,0,regular
LAN201004130,kenni001,ARI,13,22,6,3,2,1,20100413,0,regular
LAN201004130,kersc001,LAN,16,25,2,5,7,1,20100413,0,regular
NYA201004130,sante001,ANA,17,29,5,5,7,1,20100413,0,regular
NYA201004130,petta001,NYA,18,25,0,3,6,1,20100413,0,regular
SEA201004130,andeb004,OAK,18,27,0,2,6,1,20100413,0,regular
SEA201004130,fistd001,SEA,24,28,0,0,4,1,20100413,0,regular
SFN201004130,mahop002,PIT,15,24,3,3,3,1,20100413,0,regular
SFN201004130,cainm001,SFN,18,24,3,2,3,1,20100413,0,regular
TOR201004130,floyg001,CHA,18,29,4,2,5,1,20100413,0,regular
TOR201004130,romer002,TOR,24,28,2,2,12,1,20100413,0,regular
BAL201004140,pricd001,TBA,21,26,1,2,7,1,20100414,0,regular
BAL201004140,bergb002,BAL,9,20,5,2,3,1,20100414,0,regular
CHN201004140,bushd001,MIL,18,24,2,0,2,1,20100414,0,regular
CHN201004140,wellr001,CHN,19,29,4,1,7,1,20100414,0,regular
CLE201004140,lewic001,TEX,16,24,2,4,10,1,20100414,0,regular
CLE201004140,mastj001,CLE,18,27,2,0,9,1,20100414,0,regular
COL201004140,niesj001,NYN,15,26,5,1,2,1,20100414,0,regular
COL201004140,cooka002,COL,18,26,3,4,4,1,20100414,0,regular
DET201004140,davik002,KCA,20,29,3,3,5,1,20100414,0,regular
DET201004140,porcr001,DET,18,27,3,0,2,1,20100414,0,regular
FLO201004140,bailh001,CIN,16,28,5,4,3,1,20100414,0,regular
FLO201004140,volsc001,FLO,20,29,3,4,5,1,20100414,0,regular
LAN201004140,loper001,ARI,15,26,4,1,2,1,20100414,0,regular
LAN201004140,billc001,LAN,17,28,6,3,5,1,20100414,0,regular
MIN201004140,lackj001,BOS,20,29,2,4,2,1,20100414,0,regular
MIN201004140,slowk001,MIN,15,23,3,4,5,1,20100414,0,regular
NYA201004140,pinej001,ANA,21,26,1,0,7,1,20100414,0,regular
NYA201004140,vazqj001,NYA,16,23,4,2,4,1,20100414,0,regular
PHI201004140,stamc001,WAS,4,12,7,1,0,1,20100414,0,regular
PHI201004140,kendk001,PHI,5,14,6,3,1,1,20100414,0,regular
SDN201004140,hanst001,ATL,18,26,1,4,7,1,20100414,0,regular
SDN201004140,richc002,SDN,16,23,3,1,5,1,20100414,0,regular
SEA201004140,gonzg003,OAK,14,23,2,4,5,1,20100414,0,regular
SEA201004140,vargj001,SEA,18,22,2,0,6,1,20100414,0,regular
SFN201004140,mortc002,PIT,18,25,6,0,3,1,20100414,0,regular
SFN201004140,sancj002,SFN,24,29,0,3,11,1,20100414,0,regular
SLN201004140,myerb001,HOU,21,28,1,2,7,1,20100414,0,regular
SLN201004140,pennb002,SLN,21,23,0,0,4,1,20100414,0,regular
TOR201004140,dankj001,CHA,21,26,1,3,6,1,20100414,0,regular
TOR201004140,morrb001,TOR,12,22,7,1,3,1,20100414,0,regular
CHN201004150,suppj001,MIL,15,21,4,1,4,1,20100415,0,regular
CHN201004150,zambc001,CHN,15,27,3,3,7,1,20100415,0,regular
CLE201004150,harrm001,TEX,21,30,1,1,3,1,20100415,0,regular
CLE201004150,huffd001,CLE,27,31,2,1,4,1,20100415,0,regular
COL201004150,pelfm001,NYN,21,25,0,0,6,1,20100415,0,regular
COL201004150,delaj001,COL,18,29,4,5,5,1,20100415,0,regular
FLO201004150,haraa001,CIN,12,24,8,2,4,1,20100415,0,regular
FLO201004150,johnj009,FLO,18,24,1,1,10,1,20100415,0,regular
LAN201004150,hared001,ARI,19,28,2,2,7,1,20100415,0,regular
LAN201004150,kuroh001,LAN,21,30,2,0,7,1,20100415,0,regular
MIN201004150,waket001,BOS,16,28,5,1,2,1,20100415,0,regular
MIN201004150,lirif001,MIN,21,27,0,2,8,1,20100415,0,regular
NYA201004150,kazms001,ANA,12,23,6,3,2,1,20100415,0,regular
NYA201004150,hughp001,NYA,15,22,2,5,6,1,20100415,0,regular
OAK201004150,hernd002,BAL,15,25,4,1,6,1,20100415,0,regular
OAK201004150,sheeb001,OAK,18,26,0,3,4,1,20100415,0,regular
PHI201004150,olses001,WAS,17,25,4,3,5,1,20100415,0,regular
PHI201004150,happj001,PHI,16,23,0,6,0,1,20100415,0,regular
SDN201004150,hudst001,ATL,17,28,2,5,0,1,20100415,0,regular
SDN201004150,latom001,SDN,14,22,3,2,3,1,20100415,0,regular
SLN201004150,norrb001,HOU,15,22,0,3,9,1,20100415,0,regular
SLN201004150,lohsk001,SLN,21,24,2,0,1,1,20100415,0,regular
TOR201004150,garcf002,CHA,9,19,7,3,3,1,20100415,0,regular
TOR201004150,eveld001,TOR,18,23,2,3,4,1,20100415,0,regular
ATL201004160,hammj002,COL,5,15,7,3,1,1,20100416,0,regular
ATL201004160,lowed001,ATL,16,24,3,2,5,1,20100416,0,regular
BOS201004160,daviw001,TBA,15,21,1,4,4,1,20100416,0,regular
BOS201004160,beckj002,BOS,21,26,0,1,8,1,20100416,0,regular
CHN201004160,paulf001,HOU,18,26,5,3,3,1,20100416,0,regular
CHN201004160,silvc001,CHN,21,28,0,0,5,1,20100416,0,regular
CLE201004160,buehm001,CHA,18,29,3,4,3,1,20100416,0,regular
CLE201004160,talbm001,CLE,27,30,1,0,2,1,20100416,0,regular
LAN201004160,wellt002,SFN,12,21,7,3,4,1,20100416,0,regular
LAN201004160,padiv001,LAN,21,27,3,2,7,1,20100416,0,regular
MIN201004160,greiz001,KCA,15,26,2,5,5,1,20100416,0,regular
MIN201004160,bakes002,MIN,21,27,2,0,6,1,20100416,0,regular
NYA201004160,wilsc004,TEX,18,29,3,3,5,1,20100416,0,regular
NYA201004160,sabac001,NYA,18,22,1,0,9,1,20100416,0,regular
OAK201004160,millk004,BAL,18,27,3,0,9,1,20100416,0,regular
OAK201004160,bradd002,OAK,21,24,2,1,4,1,20100416,0,regular
PHI201004160,sanca004,FLO,18,29,5,4,1,1,20100416,0,regular
PHI201004160,hallr001,PHI,24,31,2,0,4,1,20100416,0,regular
PIT201004160,leakm001,CIN,21,32,3,5,3,1,20100416,0,regular
PIT201004160,dukez001,PIT,21,28,1,3,2,1,20100416,0,regular
SDN201004160,jacke001,ARI,18,23,0,4,3,1,20100416,0,regular
SDN201004160,garlj001,SDN,15,23,0,5,2,1,20100416,0,regular
SEA201004160,bondj001,DET,12,26,8,4,4,1,20100416,0,regular
SEA201004160,hernf002,SEA,20,25,2,2,9,1,20100416,0,regular
SLN201004160,pereo002,NYN,19,25,1,3,4,1,20100416,0,regular
SLN201004160,carpc002,SLN,21,27,0,3,10,1,20100416,0,regular
TOR201004160,weavj003,ANA,21,25,2,0,8,1,20100416,0,regular
TOR201004160,marcs001,TOR,21,28,4,1,6,1,20100416,0,regular
WAS201004160,gally001,MIL,18,26,2,4,5,1,20100416,0,regular
WAS201004160,lannj001,WAS,21,31,2,3,5,1,20100416,0,regular
ATL201004170,jimeu001,COL,27,31,0,6,7,1,20100417,0,regular
ATL201004170,kawak001,ATL,15,24,4,2,2,1,20100417,0,regular
BOS201004170,shiej002,TBA,20,30,4,1,7,1,20100417,0,regular
BOS201004170,buchc001,BOS,15,23,0,4,7,1,20100417,0,regular
CHN201004170,oswar001,HOU,21,27,0,0,6,1,20100417,0,regular
CHN201004170,gorzt001,CHN,9,13,2,1,0,1,20100417,0,regular
CLE201004170,peavj001,CHA,22,28,2,3,3,1,20100417,0,regular
CLE201004170,westj001,CLE,21,26,2,3,2,1,20100417,0,regular
LAN201004170,linct001,SFN,18,24,0,2,7,1,20100417,0,regular
LAN201004170,haegc001,LAN,9,22,5,5,3,1,20100417,0,regular
MIN201004170,mechg001,KCA,18,28,5,4,1,1,20100417,0,regular
MIN201004170,blacn001,MIN,15,21,5,1,3,1,20100417,0,regular
NYA201004170,felds001,TEX,7,16,4,2,2,1,20100417,0,regular
NYA201004170,burna001,NYA,21,28,0,2,7,1,20100417,0,regular
OAK201004170,guthj001,BAL,20,28,1,1,3,1,20100417,0,regular
OAK201004170,duchj001,OAK,17,26,0,2,5,1,20100417,0,regular
PHI201004170,nolar001,FLO,27,33,1,3,4,1,20100417,0,regular
PHI201004170,moyej001,PHI,18,25,5,1,7,1,20100417,0,regular
PIT201004170,cuetj001,CIN,15,23,3,4,4,1,20100417,0,regular
PIT201004170,mccud001,PIT,12,19,3,3,1,1,20100417,0,regular
SDN201004170,bensk001,ARI,18,28,2,4,1,1,20100417,0,regular
SDN201004170,corrk001,SDN,17,22,0,2,8,1,20100417,0,regular
SEA201004170,verlj001,DET,21,27,3,1,6,1,20100417,0,regular
SEA201004170,rowlr002,SEA,18,25,2,3,3,1,20100417,0,regular
SLN201004170,santj003,NYN,21,26,0,1,9,1,20100417,0,regular
SLN201004170,garcj004,SLN,21,24,0,2,5,1,20100417,0,regular
TOR201004170,saunj001,ANA,24,30,0,1,2,1,20100417,0,regular
TOR201004170,tallb001,TOR,15,21,4,1,3,1,20100417,0,regular
WAS201004170,wolfr001,MIL,15,22,4,3,4,1,20100417,0,regular
WAS201004170,hernl003,WAS,27,33,0,2,3,1,20100417,0,regular
ATL201004180,smitg002,COL,16,27,2,7,5,1,20100418,0,regular
ATL201004180,jurrj001,ATL,24,31,3,3,9,1,20100418,0,regular
BOS201004180,garzm001,TBA,24,26,0,2,5,1,20100418,0,regular
BOS201004180,lestj001,BOS,18,29,7,3,5,1,20100418,0,regular
CHN201004180,rodrw002,HOU,21,27,2,1,3,1,20100418,0,regular
CHN201004180,dempr002,CHN,23,28,1,2,8,1,20100418,0,regular
CLE201004180,floyg001,CHA,3,13,7,4,2,1,20100418,0,regular
CLE201004180,carmf001,CLE,18,25,3,2,4,1,20100418,0,regular
LAN201004180,zitob001,SFN,22,26,1,1,3,1,20100418,0,regular
LAN201004180,kersc001,LAN,21,28,1,4,9,1,20100418,0,regular
MIN201004180,hochl001,KCA,18,28,2,5,4,1,20100418,0,regular
MIN201004180,pavac001,MIN,10,20,7,0,2,1,20100418,0,regular
NYA201004180,hardr001,TEX,11,23,4,6,5,1,20100418,0,regular
NYA201004180,petta001,NYA,24,30,2,3,4,1,20100418,0,regular
OAK201004180,matub001,BAL,19,28,3,1,8,1,20100418,0,regular
OAK201004180,andeb004,OAK,15,24,5,0,2,1,20100418,0,regular
PHI201004180,roben001,FLO,19,28,0,4,4,1,20100418,0,regular
PHI201004180,hamec001,PHI,24,31,2,0,8,1,20100418,0,regular
PIT201004180,arrob001,CIN,18,27,5,3,7,1,20100418,0,regular
PIT201004180,mahop002,PIT,20,26,2,1,5,1,20100418,0,regular
SDN201004180,kenni001,ARI,15,20,0,3,7,1,20100418,0,regular
SDN201004180,leblw001,SDN,15,22,1,2,7,1,20100418,0,regular
SEA201004180,schem001,DET,18,22,2,1,4,1,20100418,0,regular
SEA201004180,sneli001,SEA,15,24,3,4,4,1,20100418,0,regular
SLN201004180,mainj001,NYN,15,25,3,4,4,1,20100418,0,regular
SLN201004180,waina001,SLN,27,33,2,2,9,1,20100418,0,regular
TOR201004180,sante001,ANA,27,31,1,0,6,1,20100418,0,regular
TOR201004180,romer002,TOR,24,30,1,2,6,1,20100418,0,regular
WAS201004180,david002,MIL,14,25,5,1,5,1,20100418,0,regular
WAS201004180,marqj001,WAS,0,7,7,1,0,1,20100418,0,regular
ANA201004190,willd003,DET,18,24,2,2,2,1,20100419,0,regular
ANA201004190,pinej001,ANA,22,30,0,0,4,1,20100419,0,regular
ARI201004190,pennb002,SLN,21,29,2,1,5,1,20100419,0,regular
ARI201004190,loper001,ARI,21,31,2,4,3,1,20100419,0,regular
BOS201004190,niemj001,TBA,21,28,2,3,4,1,20100419,0,regular
BOS201004190,lackj001,BOS,10,19,8,1,3,1,20100419,0,regular
NYN201004190,wellr001,CHN,18,25,1,2,5,1,20100419,0,regular
NYN201004190,niesj001,NYN,17,27,0,3,7,1,20100419,0,regular
SDN201004190,cainm001,SFN,18,26,2,1,4,1,20100419,0,regular
