gid,team,b_r,p_r,date,number,vishome,opp,win,loss,tie,gametype
CHA201004080,CHA,3,5,20100408,0,h,CLE,0,1,0,regular
CIN201004080,SLN,1,2,20100408,0,v,CIN,0,1,0,regular
CIN201004080,CIN,2,1,20100408,0,h,SLN,1,0,0,regular
KCA201004080,DET,7,3,20100408,0,v,KCA,1,0,0,regular
KCA201004080,KCA,3,7,20100408,0,h,DET,0,1,0,regular
NYN201004080,FLO,3,1,20100408,0,v,NYN,1,0,0,regular
NYN201004080,NYN,1,3,20100408,0,h,FLO,0,1,0,regular
OAK201004080,SEA,2,6,20100408,0,v,OAK,0,1,0,regular
OAK201004080,OAK,6,2,20100408,0,h,SEA,1,0,0,regular
PIT201004080,LAN,10,2,20100408,0,v,PIT,1,0,0,regular
PIT201004080,PIT,2,10,20100408,0,h,LAN,0,1,0,regular
TBA201004080,BAL,5,4,20100408,0,v,TBA,1,0,0,regular
TBA201004080,TBA,4,5,20100408,0,h,BAL,0,1,0,regular
TEX201004080,TOR,3,1,20100408,0,v,TEX,1,0,0,regular
TEX201004080,TEX,1,3,20100408,0,h,TOR,0,1,0,regular
WAS201004080,PHI,5,6,20100408,0,v,WAS,0,1,0,regular
WAS201004080,WAS,6,5,20100408,0,h,PHI,1,0,0,regular
ANA201004090,OAK,10,4,20100409,0,v,ANA,1,0,0,regular
ANA201004090,ANA,4,10,20100409,0,h,OAK,0,1,0,regular
ARI201004090,PIT,1,9,20100409,0,v,ARI,0,1,0,regular
ARI201004090,ARI,9,1,20100409,0,h,PIT,1,0,0,regular
BAL201004090,TOR,7,6,20100409,0,v,BAL,1,0,0,regular
BAL201004090,BAL,6,7,20100409,0,h,TOR,0,1,0,regular
CHA201004090,MIN,4,3,20100409,0,v,CHA,1,0,0,regular
CHA201004090,CHA,3,4,20100409,0,h,MIN,0,1,0,regular
CIN201004090,CHN,4,5,20100409,0,v,CIN,0,1,0,regular
CIN201004090,CIN,5,4,20100409,0,h,CHN,1,0,0,regular
COL201004090,SDN,0,7,20100409,0,v,COL,0,1,0,regular
COL201004090,COL,7,0,20100409,0,h,SDN,1,0,0,regular
DET201004090,CLE,2,5,20100409,0,v,DET,0,1,0,regular
DET201004090,DET,5,2,20100409,0,h,CLE,1,0,0,regular
FLO201004090,LAN,7,3,20100409,0,v,FLO,1,0,0,regular
FLO201004090,FLO,3,7,20100409,0,h,LAN,0,1,0,regular
HOU201004090,PHI,8,0,20100409,0,v,HOU,1,0,0,regular
HOU201004090,HOU,0,8,20100409,0,h,PHI,0,1,0,regular
KCA201004090,BOS,3,4,20100409,0,v,KCA,0,1,0,regular
KCA201004090,KCA,4,3,20100409,0,h,BOS,1,0,0,regular
MIL201004090,SLN,5,4,20100409,0,v,MIL,1,0,0,regular
MIL201004090,MIL,4,5,20100409,0,h,SLN,0,1,0,regular
NYN201004090,WAS,2,8,20100409,0,v,NYN,0,1,0,regular
NYN201004090,NYN,8,2,20100409,0,h,WAS,1,0,0,regular
SFN201004090,ATL,4,5,20100409,0,v,SFN,0,1,0,regular
SFN201004090,SFN,5,4,20100409,0,h,ATL,1,0,0,regular
TBA201004090,NYA,3,9,20100409,0,v,TBA,0,1,0,regular
TBA201004090,TBA,9,3,20100409,0,h,NYA,1,0,0,regular
TEX201004090,SEA,2,6,20100409,0,v,TEX,0,1,0,regular
TEX201004090,TEX,6,2,20100409,0,h,SEA,1,0,0,regular
ANA201004100,OAK,3,4,20100410,0,v,ANA,0,1,0,regular
ANA201004100,ANA,4,3,20100410,0,h,OAK,1,0,0,regular
ARI201004100,PIT,6,3,20100410,0,v,ARI,1,0,0,regular
ARI201004100,ARI,3,6,20100410,0,h,PIT,0,1,0,regular
BAL201004100,TOR,3,0,20100410,0,v,BAL,1,0,0,regular
BAL201004100,BAL,0,3,20100410,0,h,TOR,0,1,0,regular
CHA201004100,MIN,2,1,20100410,0,v,CHA,1,0,0,regular
CHA201004100,CHA,1,2,20100410,0,h,MIN,0,1,0,regular
CIN201004100,CHN,4,3,20100410,0,v,CIN,1,0,0,regular
CIN201004100,CIN,3,4,20100410,0,h,CHN,0,1,0,regular
COL201004100,SDN,5,4,20100410,0,v,COL,1,0,0,regular
COL201004100,COL,4,5,20100410,0,h,SDN,0,1,0,regular
DET201004100,CLE,2,4,20100410,0,v,DET,0,1,0,regular
DET201004100,DET,4,2,20100410,0,h,CLE,1,0,0,regular
FLO201004100,LAN,6,7,20100410,0,v,FLO,0,1,0,regular
FLO201004100,FLO,7,6,20100410,0,h,LAN,1,0,0,regular
HOU201004100,PHI,9,6,20100410,0,v,HOU,1,0,0,regular
HOU201004100,HOU,6,9,20100410,0,h,PHI,0,1,0,regular
KCA201004100,BOS,8,3,20100410,0,v,KCA,1,0,0,regular
KCA201004100,KCA,3,8,20100410,0,h,BOS,0,1,0,regular
MIL201004100,SLN,7,1,20100410,0,v,MIL,1,0,0,regular
MIL201004100,MIL,1,7,20100410,0,h,SLN,0,1,0,regular
NYN201004100,WAS,4,3,20100410,0,v,NYN,1,0,0,regular
NYN201004100,NYN,3,4,20100410,0,h,WAS,0,1,0,regular
SFN201004100,ATL,7,2,20100410,0,v,SFN,1,0,0,regular
SFN201004100,SFN,2,7,20100410,0,h,ATL,0,1,0,regular
TBA201004100,NYA,10,0,20100410,0,v,TBA,1,0,0,regular
TBA201004100,TBA,0,10,20100410,0,h,NYA,0,1,0,regular
TEX201004100,SEA,4,3,20100410,0,v,TEX,1,0,0,regular
TEX201004100,TEX,3,4,20100410,0,h,SEA,0,1,0,regular
ANA201004110,OAK,9,4,20100411,0,v,ANA,1,0,0,regular
ANA201004110,ANA,4,9,20100411,0,h,OAK,0,1,0,regular
ARI201004110,PIT,6,15,20100411,0,v,ARI,0,1,0,regular
ARI201004110,ARI,15,6,20100411,0,h,PIT,1,0,0,regular
BAL201004110,TOR,5,2,20100411,0,v,BAL,1,0,0,regular
BAL201004110,BAL,2,5,20100411,0,h,TOR,0,1,0,regular
CHA201004110,MIN,4,5,20100411,0,v,CHA,0,1,0,regular
CHA201004110,CHA,5,4,20100411,0,h,MIN,1,0,0,regular
CIN201004110,CHN,1,3,20100411,0,v,CIN,0,1,0,regular
CIN201004110,CIN,3,1,20100411,0,h,CHN,1,0,0,regular
COL201004110,SDN,2,4,20100411,0,v,COL,0,1,0,regular
COL201004110,COL,4,2,20100411,0,h,SDN,1,0,0,regular
DET201004110,CLE,8,9,20100411,0,v,DET,0,1,0,regular
DET201004110,DET,9,8,20100411,0,h,CLE,1,0,0,regular
FLO201004110,LAN,5,6,20100411,0,v,FLO,0,1,0,regular
FLO201004110,FLO,6,5,20100411,0,h,LAN,1,0,0,regular
HOU201004110,PHI,2,1,20100411,0,v,HOU,1,0,0,regular
HOU201004110,HOU,1,2,20100411,0,h,PHI,0,1,0,regular
KCA201004110,BOS,8,6,20100411,0,v,KCA,1,0,0,regular
KCA201004110,KCA,6,8,20100411,0,h,BOS,0,1,0,regular
MIL201004110,SLN,7,8,20100411,0,v,MIL,0,1,0,regular
MIL201004110,MIL,8,7,20100411,0,h,SLN,1,0,0,regular
NYN201004110,WAS,5,2,20100411,0,v,NYN,1,0,0,regular
NYN201004110,NYN,2,5,20100411,0,h,WAS,0,1,0,regular
SFN201004110,ATL,3,6,20100411,0,v,SFN,0,1,0,regular
SFN201004110,SFN,6,3,20100411,0,h,ATL,1,0,0,regular
TBA201004110,NYA,7,3,20100411,0,v,TBA,1,0,0,regular
TBA201004110,TBA,3,7,20100411,0,h,NYA,0,1,0,regular
TEX201004110,SEA,2,9,20100411,0,v,TEX,0,1,0,regular
TEX201004110,TEX,9,2,20100411,0,h,SEA,1,0,0,regular
BAL201004120,TBA,5,1,20100412,0,v,BAL,1,0,0,regular
BAL201004120,BAL,1,5,20100412,0,h,TBA,0,1,0,regular
CHN201004120,MIL,5,9,20100412,0,v,CHN,0,1,0,regular
CHN201004120,CHN,9,5,20100412,0,h,MIL,1,0,0,regular
CLE201004120,TEX,4,2,20100412,0,v,CLE,1,0,0,regular
CLE201004120,CLE,2,4,20100412,0,h,TEX,0,1,0,regular
DET201004120,KCA,10,5,20100412,0,v,DET,1,0,0,regular
DET201004120,DET,5,10,20100412,0,h,KCA,0,1,0,regular
FLO201004120,CIN,6,5,20100412,0,v,FLO,1,0,0,regular
FLO201004120,FLO,5,6,20100412,0,h,CIN,0,1,0,regular
MIN201004120,BOS,2,5,20100412,0,v,MIN,0,1,0,regular
MIN201004120,MIN,5,2,20100412,0,h,BOS,1,0,0,regular
PHI201004120,WAS,4,7,20100412,0,v,PHI,0,1,0,regular
PHI201004120,PHI,7,4,20100412,0,h,WAS,1,0,0,regular
SDN201004120,ATL,2,17,20100412,0,v,SDN,0,1,0,regular
SDN201004120,SDN,17,2,20100412,0,h,ATL,1,0,0,regular
