event_id,date_utc,fetch_date,season_type,home_team,away_team,home_points,away_points,played,status_detail
401584689,2023-10-24T23:30Z,2023-10-24,2,Denver Nuggets,Los Angeles Lakers,119,107,True,Final
401584690,2023-10-25T02:00Z,2023-10-24,2,Golden State Warriors,Phoenix Suns,104,108,True,Final
401584691,2023-10-25T23:00Z,2023-10-25,2,Charlotte Hornets,Atlanta Hawks,116,110,True,Final
401584692,2023-10-25T23:00Z,2023-10-25,2,Indiana Pacers,Washington Wizards,143,120,True,Final
401584693,2023-10-25T23:00Z,2023-10-25,2,New York Knicks,Boston Celtics,104,108,True,Final
401584694,2023-10-25T23:00Z,2023-10-25,2,Orlando Magic,Houston Rockets,116,86,True,Final
401584695,2023-10-25T23:30Z,2023-10-25,2,Brooklyn Nets,Cleveland Cavaliers,113,114,True,Final
401584696,2023-10-25T23:30Z,2023-10-25,2,Miami Heat,Detroit Pistons,103,102,True,Final
401584697,2023-10-25T23:30Z,2023-10-25,2,Toronto Raptors,Minnesota Timberwolves,97,94,True,Final
401584698,2023-10-26T00:00Z,2023-10-25,2,Chicago Bulls,Oklahoma City Thunder,104,124,True,Final
401584699,2023-10-26T00:00Z,2023-10-25,2,Memphis Grizzlies,New Orleans Pelicans,104,111,True,Final
401584700,2023-10-26T01:00Z,2023-10-25,2,Utah Jazz,Sacramento Kings,114,130,True,Final
401584701,2023-10-26T01:30Z,2023-10-25,2,San Antonio Spurs,Dallas Mavericks,119,126,True,Final
401584702,2023-10-26T02:30Z,2023-10-25,2,LA Clippers,Portland Trail Blazers,123,111,True,Final
401584703,2023-10-26T23:30Z,2023-10-26,2,Milwaukee Bucks,Philadelphia 76ers,118,117,True,Final
401584704,2023-10-27T02:00Z,2023-10-26,2,Los Angeles Lakers,Phoenix Suns,100,95,True,Final
401584705,2023-10-27T23:00Z,2023-10-27,2,Charlotte Hornets,Detroit Pistons,99,111,True,Final
401584706,2023-10-27T23:00Z,2023-10-27,2,Memphis Grizzlies,Denver Nuggets,104,108,True,Final
401584707,2023-10-27T23:30Z,2023-10-27,2,Atlanta Hawks,New York Knicks,120,126,True,Final
401584708,2023-10-27T23:30Z,2023-10-27,2,Boston Celtics,Miami Heat,119,111,True,Final
401584709,2023-10-27T23:30Z,2023-10-27,2,Cleveland Cavaliers,Oklahoma City Thunder,105,108,True,Final
401584710,2023-10-28T00:00Z,2023-10-27,2,Chicago Bulls,Toronto Raptors,104,103,True,Final/OT
401584711,2023-10-28T00:00Z,2023-10-27,2,San Antonio Spurs,Houston Rockets,126,122,True,Final/OT
401584712,2023-10-28T00:30Z,2023-10-27,2,Dallas Mavericks,Brooklyn Nets,125,120,True,Final
401584713,2023-10-28T01:30Z,2023-10-27,2,Utah Jazz,LA Clippers,120,118,True,Final
401584714,2023-10-28T02:00Z,2023-10-27,2,Portland Trail Blazers,Orlando Magic,97,102,True,Final
401584715,2023-10-28T02:00Z,2023-10-27,2,Sacramento Kings,Golden State Warriors,114,122,True,Final
401584716,2023-10-28T23:00Z,2023-10-28,2,Detroit Pistons,Chicago Bulls,118,102,True,Final
401584717,2023-10-28T23:00Z,2023-10-28,2,Washington Wizards,Memphis Grizzlies,113,106,True,Final
401584718,2023-10-28T23:00Z,2023-10-28,2,New Orleans Pelicans,New York Knicks,96,87,True,Final
401584719,2023-10-28T23:30Z,2023-10-28,2,Cleveland Cavaliers,Indiana Pacers,113,125,True,Final
401584720,2023-10-28T23:30Z,2023-10-28,2,Toronto Raptors,Philadelphia 76ers,107,114,True,Final
401584721,2023-10-29T00:00Z,2023-10-28,2,Minnesota Timberwolves,Miami Heat,106,90,True,Final
401584722,2023-10-29T02:00Z,2023-10-28,2,Phoenix Suns,Utah Jazz,126,104,True,Final
401584723,2023-10-29T19:30Z,2023-10-29,2,Oklahoma City Thunder,Denver Nuggets,95,128,True,Final
401584724,2023-10-29T23:00Z,2023-10-29,2,Houston Rockets,Golden State Warriors,95,106,True,Final
401584725,2023-10-29T23:00Z,2023-10-29,2,Milwaukee Bucks,Atlanta Hawks,110,127,True,Final
401584726,2023-10-29T23:30Z,2023-10-29,2,Philadelphia 76ers,Portland Trail Blazers,126,98,True,Final
401584727,2023-10-30T01:00Z,2023-10-29,2,LA Clippers,San Antonio Spurs,123,83,True,Final
401584728,2023-10-30T01:00Z,2023-10-29,2,Sacramento Kings,Los Angeles Lakers,132,127,True,Final/OT
401584729,2023-10-30T23:00Z,2023-10-30,2,Charlotte Hornets,Brooklyn Nets,121,133,True,Final
401584730,2023-10-30T23:00Z,2023-10-30,2,Indiana Pacers,Chicago Bulls,105,112,True,Final
401584731,2023-10-30T23:00Z,2023-10-30,2,Washington Wizards,Boston Celtics,107,126,True,Final
401584732,2023-10-30T23:30Z,2023-10-30,2,Atlanta Hawks,Minnesota Timberwolves,127,113,True,Final
401584733,2023-10-30T23:30Z,2023-10-30,2,Toronto Raptors,Portland Trail Blazers,91,99,True,Final
401584734,2023-10-31T00:00Z,2023-10-30,2,Memphis Grizzlies,Dallas Mavericks,110,125,True,Final
