event_id,date_utc,fetch_date,season_type,home_team,away_team,home_points,away_points,played,status_detail
401468016,2022-10-18T23:30Z,2022-10-18,2,Boston Celtics,Philadelphia 76ers,126,117,True,Final
401468017,2022-10-19T02:00Z,2022-10-18,2,Golden State Warriors,Los Angeles Lakers,123,109,True,Final
401468018,2022-10-19T23:00Z,2022-10-19,2,Detroit Pistons,Orlando Magic,113,109,True,Final
401468019,2022-10-19T23:00Z,2022-10-19,2,Indiana Pacers,Washington Wizards,107,114,True,Final
401468020,2022-10-19T23:30Z,2022-10-19,2,Atlanta Hawks,Houston Rockets,117,107,True,Final
401468021,2022-10-19T23:30Z,2022-10-19,2,Brooklyn Nets,New Orleans Pelicans,108,130,True,Final
401468022,2022-10-19T23:30Z,2022-10-19,2,Miami Heat,Chicago Bulls,108,116,True,Final
401468023,2022-10-19T23:30Z,2022-10-19,2,Toronto Raptors,Cleveland Cavaliers,108,105,True,Final
401468024,2022-10-19T23:30Z,2022-10-19,2,Memphis Grizzlies,New York Knicks,115,112,True,Final/OT
401468025,2022-10-20T00:00Z,2022-10-19,2,Minnesota Timberwolves,Oklahoma City Thunder,115,108,True,Final
401468026,2022-10-20T00:00Z,2022-10-19,2,San Antonio Spurs,Charlotte Hornets,102,129,True,Final
401468027,2022-10-20T01:00Z,2022-10-19,2,Utah Jazz,Denver Nuggets,123,102,True,Final
401468028,2022-10-20T02:00Z,2022-10-19,2,Phoenix Suns,Dallas Mavericks,107,105,True,Final
401468029,2022-10-20T02:00Z,2022-10-19,2,Sacramento Kings,Portland Trail Blazers,108,115,True,Final
401468170,2022-10-20T23:30Z,2022-10-20,2,Philadelphia 76ers,Milwaukee Bucks,88,90,True,Final
401468171,2022-10-21T02:00Z,2022-10-20,2,Los Angeles Lakers,LA Clippers,97,103,True,Final
401468172,2022-10-21T23:00Z,2022-10-21,2,Charlotte Hornets,New Orleans Pelicans,112,124,True,Final
401468173,2022-10-21T23:00Z,2022-10-21,2,Indiana Pacers,San Antonio Spurs,134,137,True,Final
401468174,2022-10-21T23:00Z,2022-10-21,2,Washington Wizards,Chicago Bulls,102,100,True,Final
401468175,2022-10-21T23:30Z,2022-10-21,2,Atlanta Hawks,Orlando Magic,108,98,True,Final
401468176,2022-10-21T23:30Z,2022-10-21,2,Brooklyn Nets,Toronto Raptors,109,105,True,Final
401468177,2022-10-21T23:30Z,2022-10-21,2,Miami Heat,Boston Celtics,104,111,True,Final
401468178,2022-10-21T23:30Z,2022-10-21,2,New York Knicks,Detroit Pistons,130,106,True,Final
401468179,2022-10-22T00:00Z,2022-10-21,2,Houston Rockets,Memphis Grizzlies,122,129,True,Final
401468180,2022-10-22T00:00Z,2022-10-21,2,Minnesota Timberwolves,Utah Jazz,126,132,True,Final/OT
401468181,2022-10-22T02:00Z,2022-10-21,2,Golden State Warriors,Denver Nuggets,123,128,True,Final
401468182,2022-10-22T02:00Z,2022-10-21,2,Portland Trail Blazers,Phoenix Suns,113,111,True,Final/OT
401468183,2022-10-22T22:00Z,2022-10-22,2,Philadelphia 76ers,San Antonio Spurs,105,114,True,Final
401468184,2022-10-22T23:00Z,2022-10-22,2,Indiana Pacers,Detroit Pistons,124,115,True,Final
401468185,2022-10-22T23:00Z,2022-10-22,2,Orlando Magic,Boston Celtics,120,126,True,Final
401468186,2022-10-23T00:00Z,2022-10-22,2,Miami Heat,Toronto Raptors,112,109,True,Final
