event_id,date_utc,fetch_date,season_type,home_team,away_team,home_points,away_points,played,status_detail
401358773,2021-10-19T23:30Z,2021-10-19,2,Milwaukee Bucks,Brooklyn Nets,127,104,True,Final
401358774,2021-10-20T02:00Z,2021-10-19,2,Los Angeles Lakers,Golden State Warriors,114,121,True,Final
401359833,2021-10-20T23:00Z,2021-10-20,2,Charlotte Hornets,Indiana Pacers,123,122,True,Final
401359834,2021-10-20T23:00Z,2021-10-20,2,Detroit Pistons,Chicago Bulls,88,94,True,Final
401358775,2021-10-20T23:30Z,2021-10-20,2,New York Knicks,Boston Celtics,138,134,True,Final/2OT
401359835,2021-10-20T23:30Z,2021-10-20,2,Toronto Raptors,Washington Wizards,83,98,True,Final
401359836,2021-10-21T00:00Z,2021-10-20,2,Memphis Grizzlies,Cleveland Cavaliers,132,121,True,Final
401359837,2021-10-21T00:00Z,2021-10-20,2,Minnesota Timberwolves,Houston Rockets,124,106,True,Final
401359838,2021-10-21T00:00Z,2021-10-20,2,New Orleans Pelicans,Philadelphia 76ers,97,117,True,Final
401359839,2021-10-21T00:30Z,2021-10-20,2,San Antonio Spurs,Orlando Magic,123,97,True,Final
401359840,2021-10-21T01:00Z,2021-10-20,2,Utah Jazz,Oklahoma City Thunder,107,86,True,Final
401358776,2021-10-21T02:00Z,2021-10-20,2,Phoenix Suns,Denver Nuggets,98,110,True,Final
401359841,2021-10-21T02:00Z,2021-10-20,2,Portland Trail Blazers,Sacramento Kings,121,124,True,Final
401358777,2021-10-21T23:30Z,2021-10-21,2,Atlanta Hawks,Dallas Mavericks,113,87,True,Final
401359842,2021-10-22T00:00Z,2021-10-21,2,Miami Heat,Milwaukee Bucks,137,95,True,Final
401358778,2021-10-22T02:00Z,2021-10-21,2,Golden State Warriors,LA Clippers,115,113,True,Final
401359843,2021-10-22T23:00Z,2021-10-22,2,Cleveland Cavaliers,Charlotte Hornets,112,123,True,Final
401359844,2021-10-22T23:00Z,2021-10-22,2,Orlando Magic,New York Knicks,96,121,True,Final
401359845,2021-10-22T23:00Z,2021-10-22,2,Washington Wizards,Indiana Pacers,135,134,True,Final/OT
